text,tone
"18. 09. 2004, 04. 42 СЯНГАН/ ГОНКОНГ/, 18 сентября. / Корр. ИТАР-ТАСС Андрей Бычков/. 78-летний китайский лидер Цзян Цзэминь подал прошение об отставке с поста председателя Центрального военного совета/ ЦВС/ КНР на проходящем в Пекине пленуме ЦК компартии Китая. Об этом сообщает сегодня из китайской столицы издающаяся в Сянгане информированная газета "" Саут Чайна морнинг пост "", ссылаясь на китайские источники. Решение членов ЦК КПК на этот счет ожидается в предстоящее воскресенье — в последний день работы пленума. Тогда же произойдет утверждение на посту председателя ЦВС председателя КНР и генерального секретаря ЦК КПК 61-летнего Ху Цзиньтао. [Андрей Бычков. Китайский лидер Цзян Цзэминь уходит в отставку // ИТАР-ТАСС, 2004.09.18]",0
"Таков был лейтмотив недавней пресс-конференции главного военного прокурора Александра Савенкова. Ответы на самые острые вопросы, которые больше всего волнуют наших читателей в преддверии осеннего призыва, главный военный законник страны дал "" МК "" в эксклюзивном порядке. Из досье "" МК "": Большой скандал разразился нынешней зимой в Магадане, когда на аэродроме были заморожены полторы сотни солдат-пограничников. Один из призывников, Владимир Березин, скончался в больнице. -Это дело мы уже направили в суд, — говорит Александр Савенков. — Там к уголовной ответственности привлечен и. о. начальника Магаданского погранотряда подполковник Кострюков. Ему предъявлено обвинение в нарушении санитарно-эпидемиологических правил и халатности, повлекшей смерть призывника. [Марина Гриднева. За взятку - сажать! // «Московский комсомолец» в Нижнем Новгороде, 2004.07.30]",0
"Я часто пишу о том, что выступаю против курения. Но сегодня даже день специальный! Вот губернатор Пензенской области вообще решил увольнять курящих чиновников. И я не считаю это дискриминацией. Если посчитать меру Василия Бочкарева дискриминацией, тогда и наркоторговцев ущемляют в праве продавать людям отраву и получать от нее удовольствие. В Госдуме тоже пытаются бороться с курением, отвели для этого специальные места, однако сами же депутаты Госдумы, которые должны подавать всем пример (и я в этом полностью согласен с губернатором Пензенской области), постоянно нарушают правила и продолжают курить везде, как и курили. Россия – самая курящая страна в мире, в которой самые низкие цены на табак. Я давно выступаю за увеличение стоимости продажи сигарет и за строгое ограничение мест курения. [Форум: Всемирный день отказа от курения (2011)]",2
"Согласитесь, что салат — это такое блюдо, которое достойно совершенно отдельного обсуждения и особого внимания. ) Салат — это и самостоятельное блюдо, и «затравка» перед вкусным обедом. Зачастую умение хозяйки готовить оценивается по тому разнообразию и вкусности салатов, предваряющих горячее на праздничном столе. Предлагаю делиться рецептами салатов — простых и сложных, овощных, рыбных, мясных — любых, главное – ВКУСНЫХ. [Форум: Салаты (2011)]",1
"Данная статья получилась достаточно критичной в отношении Михаила Прохорова не в силу предвзятости меня как автора, но ввиду неубедительности приведенных выше аргументаций Михаила Прохорова, по вопросу необходимости увеличения рабочего времени до 60 часов в неделю. Дмитрий, Вы понимаете, что государство все свои обязанности взвалило на плечи бизнеса. И потихоньку старается его обокрасть. И то, что предлагает Михаил Дмитриевич, — это довольно-таки лучшее, что можно было предложить и для работников и для бизнеса. А вот теперь здесь почитайте, подумайте: 9 изменений Гражданского кодекса, которые затруднят ведение бизнеса. [Форум: 12 часов в день? Не могу согласиться с М. Прохоровым (2010-2011)]",2
"Желтых шоссейных фонарей хочется. Ползучих теней в опустевших аллеях хочется. Пространства жуткого хочется, тишины волшебной. Я мечтал в детстве о велике, но моя мама мне велик не покупала оттого, что была убеждена, будто на велике я непременно попаду под машину. Позже я понял, что речь шла не о безопасности, а о наших малых жилплощадях. Понял напрасно, потому что это ничего не меняло, и я все равно был вынужден брать на время велик у своего одноклассника. Как же я был счастливо волен на потрепанной «Десне», преодолевая путь от станции метро «Войковская» до Красной площади! [Форум: Горный двухподвесочный (2010)]",1
"Буквально на минутку заскочил на блог, чтобы поделиться свежими эмоциями от похода на любопытное представление. На днях я в компании друзей отправился в цирк! Очень давно не был в цирке — по-моему, даже в детстве ходил туда только один раз. Я был хоть и маленьким, но ответственным футболистом, слишком уж много времени отнимали тренировки) Запомнились из того похода разве что медведи и клоуны — давненько дело было уже) Цирк, в котором я побывал на этот раз, оказался не совсем обычным. Шоу проходило в «Лужниках» и называлось «Цирк дю Солей». Программа поразила своим размахом. Я не специалист в этой области, но могу сказать, что это современная, совершенно новая и свежая интерпретация циркового искусства, хотя персонажи вроде бы все те же — акробаты, гимнасты, клоуны... [Форум: Поход в цирк (2010)]",1
"Раз двадцать уже смотрела. И еще смотреть буду. А ведь фильм-то не новый (снят уже 15 лет назад), но смотрится всегда с удовольствием, всегда с каким-то трепетом в душе. Думаю, это от того, что он очень теплый, душевный, дающий надежду на лучшее. Смотришь его и хочется верить, что и правда все будет хорошо у всех героев фильма, что каждый найдет свое счастье. Но на что надеяться людям, живущим в обшарпанном, ветхом общежитии на краю провинциального городка, работающим на заводе? Вроде и не на что. [Форум: комментарии к фильму «Все будет хорошо» (2008-2011)]",1
"Блэйд (Blade) 1998 Режиссер: Стивен Норрингтон Сценарий: Дэвид С. Гойер В ролях: Уэсли Снайпс, Стивен Дорфф, Крис Кристофферсон, Н'Буш Райт, Донал Лог, Удо Кир Imdb. Кинопоиск. Сюжет: Получеловек-полувампир Блэйд намерен уничтожить виновника своей судьбы — Дьякона Фроста. Когда-то в кровь Блэйда попало совсем немного вампирского яда, но с течением времени он стал ощущать неизбежность своего превращения. Желая избавить людей от тайной и могущественной армии вампиров, заполонившей общество, он отправляется на решающий бой... Первая часть, самая сочная и самая любимая. Стивен Норингтон слепил невероятно качественную картину и дал жизнь целому франчайзу. [Форум: Блэйд (трилогия) Blade (2008-2010)]",1
"А, с беляево Ну. . мне где-то минут 50 добираться... Так! Чуть не забыл! паспорт не забудь! Да. помню) Ты говорил) [Переписка в icq между agd-ardin и Колючий друг (25.01.2008)]",1
